#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#0,1000,300,100,0.02,0.006,700,700,5,0.006,0.169,168,0.0907,0.9799,190,0.0755
#1,1000,300,100,0.02,0.006,720,700,5,0.006,0.1689,169,0.0907,1.0439,181,0.0754
#2,1000,300,100,0.02,0.006,740,700,5,0.006,0.1689,166,0.0907,1.2161,189,0.0747
#3,1000,300,100,0.02,0.006,760,700,5,0.006,0.1688,166,0.0907,1.0476,176,0.0752
#4,1000,300,100,0.02,0.006,780,700,5,0.006,0.1688,166,0.0907,0.9191,173,0.0749
#5,1000,300,100,0.02,0.006,800,700,5,0.006,0.1687,166,0.0907,1.0307,177,0.0738
#6,1000,300,100,0.02,0.006,820,700,5,0.006,0.1687,168,0.0907,1.1265,174,0.075
#7,1000,300,100,0.02,0.006,840,700,5,0.006,0.1686,170,0.0907,1.1524,198,0.0741
#8,1000,300,100,0.02,0.006,860,700,5,0.006,0.1686,167,0.0907,0.7867,173,0.0744
#9,1000,300,100,0.02,0.006,880,700,5,0.006,0.1686,166,0.0907,1.0323,170,0.0746
#10,1000,300,100,0.02,0.006,700,720,5,0.006,0.1692,170,0.0906,0.9913,176,0.0762
#11,1000,300,100,0.02,0.006,720,720,5,0.006,0.1691,172,0.0906,0.976,191,0.0751
#12,1000,300,100,0.02,0.006,740,720,5,0.006,0.1691,172,0.0906,0.7169,180,0.0789
#13,1000,300,100,0.02,0.006,760,720,5,0.006,0.169,170,0.0906,0.7549,195,0.0775
#14,1000,300,100,0.02,0.006,780,720,5,0.006,0.169,170,0.0906,0.9926,185,0.0754
#15,1000,300,100,0.02,0.006,800,720,5,0.006,0.1689,172,0.0906,0.7845,180,0.0782
#16,1000,300,100,0.02,0.006,820,720,5,0.006,0.1689,172,0.0906,0.9272,206,0.0758
#17,1000,300,100,0.02,0.006,840,720,5,0.006,0.1689,174,0.0906,1.0572,202,0.0744
#18,1000,300,100,0.02,0.006,860,720,5,0.006,0.1688,174,0.0906,0.9583,177,0.0754
#19,1000,300,100,0.02,0.006,880,720,5,0.006,0.1688,172,0.0906,1.0475,191,0.0743
#20,1000,300,100,0.02,0.006,700,740,5,0.006,0.1693,170,0.0906,0.6964,179,0.0785
#21,1000,300,100,0.02,0.006,720,740,5,0.006,0.1693,172,0.0906,1.0024,191,0.075
#22,1000,300,100,0.02,0.006,740,740,5,0.006,0.1692,172,0.0906,1.0274,189,0.0743
#23,1000,300,100,0.02,0.006,760,740,5,0.006,0.1692,172,0.0906,0.911,188,0.0747
#24,1000,300,100,0.02,0.006,780,740,5,0.006,0.1691,173,0.0906,0.7901,184,0.0764
#25,1000,300,100,0.02,0.006,800,740,5,0.006,0.1691,173,0.0906,0.9057,201,0.0763
#26,1000,300,100,0.02,0.006,820,740,5,0.006,0.1691,172,0.0906,0.88,175,0.0757
#27,1000,300,100,0.02,0.006,840,740,5,0.006,0.169,171,0.0906,1.0092,188,0.0744
#28,1000,300,100,0.02,0.006,860,740,5,0.006,0.169,173,0.0906,1.1001,181,0.0749
#29,1000,300,100,0.02,0.006,880,740,5,0.006,0.1689,172,0.0906,1.0143,196,0.0752
#30,1000,300,100,0.02,0.006,700,760,5,0.006,0.1694,174,0.0905,0.942,184,0.0746
#31,1000,300,100,0.02,0.006,720,760,5,0.006,0.1694,174,0.0905,1.0212,181,0.0745
#32,1000,300,100,0.02,0.006,740,760,5,0.006,0.1693,172,0.0905,0.9832,191,0.075
