#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#0,1000,300,100,0.02,0.006,700,700,10,0.006,0.1742,180,0.0907,0.157,173,0.0922
#1,1000,300,100,0.02,0.006,720,700,10,0.006,0.1741,178,0.0907,0.526,167,0.0865
#2,1000,300,100,0.02,0.006,740,700,10,0.006,0.1741,179,0.0907,0.1601,163,0.0915
#3,1000,300,100,0.02,0.006,760,700,10,0.006,0.174,178,0.0907,0.4176,164,0.0892
#4,1000,300,100,0.02,0.006,780,700,10,0.006,0.174,178,0.0907,0.1685,171,0.0943
#5,1000,300,100,0.02,0.006,800,700,10,0.006,0.174,178,0.0907,0.162,172,0.0912
#6,1000,300,100,0.02,0.006,820,700,10,0.006,0.1739,176,0.0907,0.2213,170,0.0908
#7,1000,300,100,0.02,0.006,840,700,10,0.006,0.1739,178,0.0907,0.1693,175,0.0919
#8,1000,300,100,0.02,0.006,860,700,10,0.006,0.1739,179,0.0907,0.1608,167,0.093
#9,1000,300,100,0.02,0.006,880,700,10,0.006,0.1738,179,0.0907,0.2379,168,0.0916
#10,1000,300,100,0.02,0.006,700,720,10,0.006,0.1742,182,0.0907,0.158,183,0.0913
#11,1000,300,100,0.02,0.006,720,720,10,0.006,0.1741,179,0.0907,0.7134,183,0.0824
#12,1000,300,100,0.02,0.006,740,720,10,0.006,0.1741,181,0.0907,0.162,167,0.093
#13,1000,300,100,0.02,0.006,760,720,10,0.006,0.1741,181,0.0907,0.741,160,0.0807
#14,1000,300,100,0.02,0.006,780,720,10,0.006,0.174,181,0.0907,0.1566,169,0.0922
#15,1000,300,100,0.02,0.006,800,720,10,0.006,0.174,180,0.0907,0.6334,175,0.0843
#16,1000,300,100,0.02,0.006,820,720,10,0.006,0.174,180,0.0907,0.1937,191,0.0904
#17,1000,300,100,0.02,0.006,840,720,10,0.006,0.1739,178,0.0907,0.4129,173,0.0874
#18,1000,300,100,0.02,0.006,860,720,10,0.006,0.1739,179,0.0907,0.5194,174,0.0846
#19,1000,300,100,0.02,0.006,880,720,10,0.006,0.1738,179,0.0907,0.1703,168,0.0928
#20,1000,300,100,0.02,0.006,700,740,10,0.006,0.1742,182,0.0906,0.1693,162,0.0923
#21,1000,300,100,0.02,0.006,720,740,10,0.006,0.1742,182,0.0906,0.5849,185,0.0855
#22,1000,300,100,0.02,0.006,740,740,10,0.006,0.1741,182,0.0906,0.9782,188,0.0781
#23,1000,300,100,0.02,0.006,760,740,10,0.006,0.1741,182,0.0906,1.15,192,0.0778
#24,1000,300,100,0.02,0.006,780,740,10,0.006,0.1741,183,0.0906,0.5682,173,0.084
#25,1000,300,100,0.02,0.006,800,740,10,0.006,0.174,182,0.0906,0.1915,170,0.0917
#26,1000,300,100,0.02,0.006,820,740,10,0.006,0.174,182,0.0906,0.644,167,0.0827
#27,1000,300,100,0.02,0.006,840,740,10,0.006,0.174,182,0.0906,0.5898,179,0.0845
#28,1000,300,100,0.02,0.006,860,740,10,0.006,0.1739,182,0.0906,0.1644,179,0.091
#29,1000,300,100,0.02,0.006,880,740,10,0.006,0.1739,181,0.0906,0.5846,184,0.0828
#30,1000,300,100,0.02,0.006,700,760,10,0.006,0.1742,185,0.0906,0.9806,206,0.0789
#31,1000,300,100,0.02,0.006,720,760,10,0.006,0.1742,186,0.0906,0.6395,176,0.0823
#32,1000,300,100,0.02,0.006,740,760,10,0.006,0.1742,185,0.0906,0.1841,186,0.091
#33,1000,300,100,0.02,0.006,760,760,10,0.006,0.1741,185,0.0906,0.3536,161,0.0914
#34,1000,300,100,0.02,0.006,780,760,10,0.006,0.1741,185,0.0906,0.1677,186,0.0907
#35,1000,300,100,0.02,0.006,800,760,10,0.006,0.1741,185,0.0906,0.6477,172,0.0806
#36,1000,300,100,0.02,0.006,820,760,10,0.006,0.174,186,0.0906,0.9761,195,0.0784
#37,1000,300,100,0.02,0.006,840,760,10,0.006,0.174,186,0.0906,0.7797,188,0.0815
#38,1000,300,100,0.02,0.006,860,760,10,0.006,0.1739,186,0.0906,1.0275,184,0.0766
#39,1000,300,100,0.02,0.006,880,760,10,0.006,0.1739,186,0.0906,0.1612,173,0.0915
#40,1000,300,100,0.02,0.006,700,780,10,0.006,0.1743,186,0.0906,0.1767,180,0.0909
#41,1000,300,100,0.02,0.006,720,780,10,0.006,0.1742,186,0.0906,1.0165,202,0.0776
#42,1000,300,100,0.02,0.006,740,780,10,0.006,0.1742,186,0.0906,0.4208,177,0.0876
#43,1000,300,100,0.02,0.006,760,780,10,0.006,0.1742,186,0.0906,0.4956,172,0.0865
#44,1000,300,100,0.02,0.006,780,780,10,0.006,0.1741,186,0.0906,0.6724,189,0.0824
#45,1000,300,100,0.02,0.006,800,780,10,0.006,0.1741,186,0.0906,0.1451,174,0.0929
#46,1000,300,100,0.02,0.006,820,780,10,0.006,0.1741,186,0.0906,0.9321,201,0.0777
#47,1000,300,100,0.02,0.006,840,780,10,0.006,0.174,186,0.0906,0.1686,187,0.0916
#48,1000,300,100,0.02,0.006,860,780,10,0.006,0.174,186,0.0906,0.1614,163,0.0933
#49,1000,300,100,0.02,0.006,880,780,10,0.006,0.1739,186,0.0906,0.159,175,0.0916
#50,1000,300,100,0.02,0.006,700,800,10,0.006,0.1743,187,0.0906,0.1622,174,0.0933
#51,1000,300,100,0.02,0.006,720,800,10,0.006,0.1743,187,0.0906,0.3457,173,0.0887
#52,1000,300,100,0.02,0.006,740,800,10,0.006,0.1742,187,0.0906,0.1689,170,0.0923
#53,1000,300,100,0.02,0.006,760,800,10,0.006,0.1742,187,0.0906,0.5991,163,0.084
#54,1000,300,100,0.02,0.006,780,800,10,0.006,0.1742,187,0.0906,0.1644,170,0.092
#55,1000,300,100,0.02,0.006,800,800,10,0.006,0.1741,187,0.0906,0.3076,169,0.0896
#56,1000,300,100,0.02,0.006,820,800,10,0.006,0.1741,187,0.0906,0.7217,190,0.0816
#57,1000,300,100,0.02,0.006,840,800,10,0.006,0.1741,187,0.0906,0.1604,176,0.0921
#58,1000,300,100,0.02,0.006,860,800,10,0.006,0.174,187,0.0906,0.1562,176,0.092
#59,1000,300,100,0.02,0.006,880,800,10,0.006,0.174,187,0.0906,0.7412,210,0.0788
