#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#0,1000,300,100,0.02,0.006,700,700,5,0.006,0.1438,168,0.0927,0.1598,183,0.0881
#1,1000,300,100,0.02,0.006,720,700,5,0.006,0.1437,172,0.0927,0.1988,180,0.0866
#2,1000,300,100,0.02,0.006,740,700,5,0.006,0.1437,172,0.0927,0.1675,190,0.0873
#3,1000,300,100,0.02,0.006,760,700,5,0.006,0.1436,168,0.0927,0.1811,174,0.0866
#4,1000,300,100,0.02,0.006,780,700,5,0.006,0.1436,170,0.0927,0.1623,176,0.0881
#5,1000,300,100,0.02,0.006,800,700,5,0.006,0.1436,170,0.0927,0.1634,186,0.0881
#6,1000,300,100,0.02,0.006,820,700,5,0.006,0.1435,168,0.0927,0.1965,187,0.0869
#7,1000,300,100,0.02,0.006,840,700,5,0.006,0.1435,169,0.0927,0.1606,189,0.0884
#8,1000,300,100,0.02,0.006,860,700,5,0.006,0.1435,169,0.0927,0.1687,180,0.0869
#9,1000,300,100,0.02,0.006,880,700,5,0.006,0.1435,168,0.0927,0.1635,185,0.0867
#10,1000,300,100,0.02,0.006,700,720,5,0.006,0.1438,172,0.0927,0.1879,179,0.0877
#11,1000,300,100,0.02,0.006,720,720,5,0.006,0.1437,172,0.0927,0.165,179,0.0879
#12,1000,300,100,0.02,0.006,740,720,5,0.006,0.1437,170,0.0927,0.1988,189,0.0862
#13,1000,300,100,0.02,0.006,760,720,5,0.006,0.1437,172,0.0927,0.1833,175,0.0861
#14,1000,300,100,0.02,0.006,780,720,5,0.006,0.1436,171,0.0927,0.1629,165,0.0877
#15,1000,300,100,0.02,0.006,800,720,5,0.006,0.1436,172,0.0927,0.1957,191,0.0864
#16,1000,300,100,0.02,0.006,820,720,5,0.006,0.1436,172,0.0927,0.1777,173,0.0867
#17,1000,300,100,0.02,0.006,840,720,5,0.006,0.1435,171,0.0927,0.1659,184,0.0877
#18,1000,300,100,0.02,0.006,860,720,5,0.006,0.1435,170,0.0927,0.1799,168,0.0875
#19,1000,300,100,0.02,0.006,880,720,5,0.006,0.1435,171,0.0926,0.1647,184,0.0874
#20,1000,300,100,0.02,0.006,700,740,5,0.006,0.1438,175,0.0926,0.1856,183,0.0869
#21,1000,300,100,0.02,0.006,720,740,5,0.006,0.1437,174,0.0926,0.1613,192,0.0875
#22,1000,300,100,0.02,0.006,740,740,5,0.006,0.1437,172,0.0926,0.1608,190,0.0878
