,index,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,gamma,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot.1,label
0,0,1611,384,156,0.0148,0.005,877.87,1000.33,18.97,0.0065877190000000006,9.55,0.1074,147,0.0948,1.1074,166,0.1105,A
1,1,1611,384,156,0.0148,0.005,791.04,1000.33,18.97,0.0065877190000000006,9.55,0.1074,147,0.0948,1.1074,166,0.1105,A
2,2,1730,311,164,0.0128,0.0049,747.53,1106.81,26.6,0.01,18.6,0.0946,183,0.0897,1.0659,180,0.10099999999999999,A
3,3,1730,311,164,0.0128,0.0049,791.04,1106.81,26.6,0.01,18.6,0.0946,183,0.0897,1.0659,180,0.10099999999999999,A
4,4,1396,332,102,0.0123,0.0051,700.26,1104.93,28.55,0.01,25.33,0.1057,144,0.0668,1.0654,156,0.047,A
5,5,1396,332,102,0.0123,0.0051,791.04,1104.93,28.55,0.01,25.33,0.1057,144,0.0668,1.0654,156,0.047,A
6,6,1556,303,151,0.0142,0.0058,828.33,1034.57,10.24,0.006983746,2.95,0.0718,235,0.1207,1.0507,274,0.1333,A
7,7,1556,303,151,0.0142,0.0058,791.04,1034.57,10.24,0.006983746,2.95,0.0718,235,0.1207,1.0507,274,0.1333,A
8,8,1737,377,124,0.0131,0.0052,783.82,1181.97,18.01,0.01,9.29,0.10099999999999999,165,0.0815,1.0475,185,0.0599,A
9,9,1737,377,124,0.0131,0.0052,791.04,1181.97,18.01,0.01,9.29,0.10099999999999999,165,0.0815,1.0475,185,0.0599,A
10,10,1001,364,156,0.0144,0.0043,884.19,1137.91,21.17,0.01,12.28,0.1459,229,0.0697,1.0342,264,0.0881,A
11,11,1960,333,178,0.0149,0.0049,880.19,1115.91,35.87,0.01,42.42,0.1019,160,0.1023,1.0265,176,0.1161,A
12,12,1960,333,178,0.0149,0.0049,791.04,1115.91,35.87,0.01,42.42,0.1019,160,0.1023,1.0265,176,0.1161,A
13,13,1462,328,181,0.0123,0.0041,742.72,1165.47,33.41,0.007968199,35.83,0.1243,186,0.0721,1.0254,167,0.0758,A
14,14,1462,328,181,0.0123,0.0041,791.04,1165.47,33.41,0.007968199,35.83,0.1243,186,0.0721,1.0254,167,0.0758,A
