
d_int,d_bed,rho_int,rho_bed,freq,amp,yint_a,yint_b,con_i,zint_f,con_f

0.02,0.006,700.00,700.00,5.00,0.006,0.000,-0.000,257,0.6032,278
0.02,0.006,800.00,700.00,5.00,0.006,0.000,-0.004,268,0.3888,286
0.02,0.006,900.00,700.00,5.00,0.006,0.000,0.004,264,0.5221,269
0.02,0.006,1000.00,700.00,5.00,0.006,0.000,-0.000,255,0.4457,274
0.02,0.006,1100.00,700.00,5.00,0.006,0.000,0.000,257,0.4287,284
0.02,0.006,1200.00,700.00,5.00,0.006,0.000,0.001,245,0.412,284
0.02,0.006,1300.00,700.00,5.00,0.006,0.000,0.003,253,0.1144,275
0.02,0.006,1400.00,700.00,5.00,0.006,0.000,0.002,250,0.5386,284
0.02,0.006,700.00,800.00,5.00,0.006,0.000,0.004,274,1.149,313
0.02,0.006,800.00,800.00,5.00,0.006,0.000,0.000,259,0.3866,297
0.02,0.006,900.00,800.00,5.00,0.006,0.000,-0.004,262,1.0984,321
0.02,0.006,1000.00,800.00,5.00,0.006,0.000,-0.004,263,0.4008,278
0.02,0.006,1100.00,800.00,5.00,0.006,0.000,-0.002,261,0.7887,297
0.02,0.006,1200.00,800.00,5.00,0.006,0.000,-0.004,274,0.5607,307
0.02,0.006,1300.00,800.00,5.00,0.006,0.000,0.002,258,0.1155,292
0.02,0.006,1400.00,800.00,5.00,0.006,0.000,-0.002,271,0.5031,291
0.02,0.006,700.00,900.00,5.00,0.006,0.000,-0.003,257,0.9415,337
0.02,0.006,800.00,900.00,5.00,0.006,0.000,0.001,275,0.5394,294
0.02,0.006,900.00,900.00,5.00,0.006,0.000,-0.001,277,0.9343,340
0.02,0.006,1000.00,900.00,5.00,0.006,0.000,-0.002,261,0.1149,330
0.02,0.006,1100.00,900.00,5.00,0.006,0.000,-0.002,270,0.2473,319
0.02,0.006,1200.00,900.00,5.00,0.006,0.000,-0.006,277,0.2898,295
0.02,0.006,1300.00,900.00,5.00,0.006,0.000,0.006,276,0.2222,315
0.02,0.006,1400.00,900.00,5.00,0.006,0.000,-0.003,267,0.1178,287
0.02,0.006,700.00,1000.00,5.00,0.006,0.000,-0.002,279,0.6171,329
0.02,0.006,800.00,1000.00,5.00,0.006,0.000,-0.001,262,1.1219,352
0.02,0.006,900.00,1000.00,5.00,0.006,0.000,0.005,275,0.822,340
0.02,0.006,1000.00,1000.00,5.00,0.006,0.000,0.006,286,1.0121,355
0.02,0.006,1100.00,1000.00,5.00,0.006,0.000,-0.002,272,0.6931,332
0.02,0.006,1200.00,1000.00,5.00,0.006,0.000,-0.000,262,0.1186,304
0.02,0.006,1300.00,1000.00,5.00,0.006,0.000,-0.003,278,0.9462,358
0.02,0.006,1400.00,1000.00,5.00,0.006,0.000,0.002,264,0.4216,339
0.02,0.006,700.00,1100.00,5.00,0.006,0.000,-0.003,267,1.065,357
0.02,0.006,800.00,1100.00,5.00,0.006,0.000,0.004,284,0.9911,350
0.02,0.006,900.00,1100.00,5.00,0.006,0.000,-0.001,274,0.5868,318
0.02,0.006,1000.00,1100.00,5.00,0.006,0.000,0.003,279,0.791,350
0.02,0.006,1100.00,1100.00,5.00,0.006,0.000,-0.003,257,0.4537,328
0.02,0.006,1200.00,1100.00,5.00,0.006,0.000,0.002,291,0.7103,314
0.02,0.006,1300.00,1100.00,5.00,0.006,0.000,-0.005,291,0.1138,335
0.02,0.006,1400.00,1100.00,5.00,0.006,0.000,0.001,272,0.1176,332
0.02,0.006,700.00,1200.00,5.00,0.006,0.000,-0.001,270,1.0407,357
0.02,0.006,800.00,1200.00,5.00,0.006,0.000,0.001,280,1.0392,363
0.02,0.006,900.00,1200.00,5.00,0.006,0.000,-0.006,265,0.5022,324
0.02,0.006,1000.00,1200.00,5.00,0.006,0.000,-0.004,270,0.625,369
0.02,0.006,1100.00,1200.00,5.00,0.006,0.000,0.009,284,0.4831,317
0.02,0.006,1200.00,1200.00,5.00,0.006,0.000,0.002,260,1.3579,350
0.02,0.006,1300.00,1200.00,5.00,0.006,0.000,-0.003,264,0.9185,359
0.02,0.006,1400.00,1200.00,5.00,0.006,0.000,-0.002,281,0.1253,347
0.02,0.006,700.00,1300.00,5.00,0.006,0.000,-0.002,282,0.7604,366
0.02,0.006,800.00,1300.00,5.00,0.006,0.000,-0.003,267,0.9437,367
0.02,0.006,900.00,1300.00,5.00,0.006,0.000,-0.003,275,1.1366,337
0.02,0.006,1000.00,1300.00,5.00,0.006,0.000,-0.004,282,0.3388,318
0.02,0.006,1100.00,1300.00,5.00,0.006,0.000,0.007,266,0.8184,355
0.02,0.006,1200.00,1300.00,5.00,0.006,0.000,-0.001,277,0.3879,330
0.02,0.006,1300.00,1300.00,5.00,0.006,0.000,0.001,285,0.7943,340
0.02,0.006,1400.00,1300.00,5.00,0.006,0.000,-0.006,281,0.6573,328
0.02,0.006,700.00,1400.00,5.00,0.006,0.000,-0.007,303,1.0723,336
0.02,0.006,800.00,1400.00,5.00,0.006,0.000,0.000,289,0.9853,338
0.02,0.006,900.00,1400.00,5.00,0.006,0.000,0.007,309,0.7467,346
0.02,0.006,1000.00,1400.00,5.00,0.006,0.000,0.001,284,1.0387,368
0.02,0.006,1100.00,1400.00,5.00,0.006,0.000,-0.007,302,1.3834,344
0.02,0.006,1200.00,1400.00,5.00,0.006,0.000,0.007,287,0.7055,318
0.02,0.006,1300.00,1400.00,5.00,0.006,0.000,-0.001,287,0.9128,366
0.02,0.006,1400.00,1400.00,5.00,0.006,0.000,-0.006,294,0.1233,310
