#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#0,1000,300,100,0.02,0.006,700,700,15,0.006,0.1742,180,0.0907,0.1635,168,0.0893
#1,1000,300,100,0.02,0.006,720,700,15,0.006,0.1741,178,0.0907,0.1477,164,0.0894
#2,1000,300,100,0.02,0.006,740,700,15,0.006,0.1741,179,0.0907,0.162,173,0.0896
#3,1000,300,100,0.02,0.006,760,700,15,0.006,0.174,178,0.0907,0.5703,173,0.0799
#4,1000,300,100,0.02,0.006,780,700,15,0.006,0.174,178,0.0907,0.1553,160,0.0889
#5,1000,300,100,0.02,0.006,800,700,15,0.006,0.174,178,0.0907,0.1564,157,0.0905
#6,1000,300,100,0.02,0.006,820,700,15,0.006,0.1739,176,0.0907,0.1584,175,0.0889
#7,1000,300,100,0.02,0.006,840,700,15,0.006,0.1739,178,0.0907,0.1658,172,0.0878
#8,1000,300,100,0.02,0.006,860,700,15,0.006,0.1739,179,0.0907,0.1535,165,0.089
#9,1000,300,100,0.02,0.006,880,700,15,0.006,0.1738,179,0.0907,0.3058,177,0.0857
#10,1000,300,100,0.02,0.006,700,720,15,0.006,0.1742,182,0.0907,0.4321,170,0.0845
#11,1000,300,100,0.02,0.006,720,720,15,0.006,0.1741,179,0.0907,0.16,171,0.0885
#12,1000,300,100,0.02,0.006,740,720,15,0.006,0.1741,181,0.0907,0.4502,169,0.0835
#13,1000,300,100,0.02,0.006,760,720,15,0.006,0.1741,181,0.0907,0.1636,170,0.089
#14,1000,300,100,0.02,0.006,780,720,15,0.006,0.174,181,0.0907,0.1624,165,0.0889
#15,1000,300,100,0.02,0.006,800,720,15,0.006,0.174,180,0.0907,0.1463,155,0.0926
#16,1000,300,100,0.02,0.006,820,720,15,0.006,0.174,180,0.0907,0.1637,168,0.0887
#17,1000,300,100,0.02,0.006,840,720,15,0.006,0.1739,178,0.0907,0.1615,167,0.0914
#18,1000,300,100,0.02,0.006,860,720,15,0.006,0.1739,179,0.0907,0.5836,169,0.0802
#19,1000,300,100,0.02,0.006,880,720,15,0.006,0.1738,179,0.0907,0.1513,172,0.0885
#20,1000,300,100,0.02,0.006,700,740,15,0.006,0.1742,182,0.0906,0.5359,168,0.083
#21,1000,300,100,0.02,0.006,720,740,15,0.006,0.1742,182,0.0906,0.1614,155,0.0902
#22,1000,300,100,0.02,0.006,740,740,15,0.006,0.1741,182,0.0906,0.1603,161,0.0892
#23,1000,300,100,0.02,0.006,760,740,15,0.006,0.1741,182,0.0906,0.1672,165,0.0878
#24,1000,300,100,0.02,0.006,780,740,15,0.006,0.1741,183,0.0906,0.1667,169,0.0879
#25,1000,300,100,0.02,0.006,800,740,15,0.006,0.174,182,0.0906,0.1543,176,0.0889
#26,1000,300,100,0.02,0.006,820,740,15,0.006,0.174,182,0.0906,0.1664,158,0.0889
#27,1000,300,100,0.02,0.006,840,740,15,0.006,0.174,182,0.0906,0.1749,182,0.0877
#28,1000,300,100,0.02,0.006,860,740,15,0.006,0.1739,182,0.0906,0.1571,163,0.09
#29,1000,300,100,0.02,0.006,880,740,15,0.006,0.1739,181,0.0906,0.1476,161,0.0903
#30,1000,300,100,0.02,0.006,700,760,15,0.006,0.1742,185,0.0906,0.1646,178,0.0884
#31,1000,300,100,0.02,0.006,720,760,15,0.006,0.1742,186,0.0906,0.4641,185,0.0826
#32,1000,300,100,0.02,0.006,740,760,15,0.006,0.1742,185,0.0906,0.486,174,0.0835
#33,1000,300,100,0.02,0.006,760,760,15,0.006,0.1741,185,0.0906,0.1601,181,0.0876
#34,1000,300,100,0.02,0.006,780,760,15,0.006,0.1741,185,0.0906,0.1968,180,0.0877
#35,1000,300,100,0.02,0.006,800,760,15,0.006,0.1741,185,0.0906,0.1664,174,0.0872
#36,1000,300,100,0.02,0.006,820,760,15,0.006,0.174,186,0.0906,0.1603,156,0.0899
#37,1000,300,100,0.02,0.006,840,760,15,0.006,0.174,186,0.0906,0.1634,176,0.087
#38,1000,300,100,0.02,0.006,860,760,15,0.006,0.1739,186,0.0906,0.2881,180,0.0857
#39,1000,300,100,0.02,0.006,880,760,15,0.006,0.1739,186,0.0906,0.1531,177,0.0881
#40,1000,300,100,0.02,0.006,700,780,15,0.006,0.1743,186,0.0906,0.1629,169,0.0894
#41,1000,300,100,0.02,0.006,720,780,15,0.006,0.1742,186,0.0906,0.1672,173,0.0883
#42,1000,300,100,0.02,0.006,740,780,15,0.006,0.1742,186,0.0906,0.167,166,0.0885
#43,1000,300,100,0.02,0.006,760,780,15,0.006,0.1742,186,0.0906,0.1561,171,0.0888
#44,1000,300,100,0.02,0.006,780,780,15,0.006,0.1741,186,0.0906,0.3075,169,0.0857
#45,1000,300,100,0.02,0.006,800,780,15,0.006,0.1741,186,0.0906,0.1858,175,0.0882
#46,1000,300,100,0.02,0.006,820,780,15,0.006,0.1741,186,0.0906,0.657,163,0.081
#47,1000,300,100,0.02,0.006,840,780,15,0.006,0.174,186,0.0906,0.158,165,0.0886
#48,1000,300,100,0.02,0.006,860,780,15,0.006,0.174,186,0.0906,0.1563,174,0.0881
#49,1000,300,100,0.02,0.006,880,780,15,0.006,0.1739,186,0.0906,0.1555,170,0.0891
#50,1000,300,100,0.02,0.006,700,800,15,0.006,0.1743,187,0.0906,0.1688,187,0.0879
#51,1000,300,100,0.02,0.006,720,800,15,0.006,0.1743,187,0.0906,0.1683,173,0.0879
#52,1000,300,100,0.02,0.006,740,800,15,0.006,0.1742,187,0.0906,0.1501,163,0.0886
#53,1000,300,100,0.02,0.006,760,800,15,0.006,0.1742,187,0.0906,0.1657,169,0.0875
#54,1000,300,100,0.02,0.006,780,800,15,0.006,0.1742,187,0.0906,0.4073,166,0.084
#55,1000,300,100,0.02,0.006,800,800,15,0.006,0.1741,187,0.0906,0.1691,169,0.0892
#56,1000,300,100,0.02,0.006,820,800,15,0.006,0.1741,187,0.0906,0.1656,166,0.0893
#57,1000,300,100,0.02,0.006,840,800,15,0.006,0.1741,187,0.0906,0.1668,171,0.0883
#58,1000,300,100,0.02,0.006,860,800,15,0.006,0.174,187,0.0906,0.1663,164,0.0895
#59,1000,300,100,0.02,0.006,880,800,15,0.006,0.174,187,0.0906,0.1643,184,0.087
#60,1000,300,100,0.02,0.006,700,820,15,0.006,0.1744,187,0.0905,0.1555,177,0.0886
#61,1000,300,100,0.02,0.006,720,820,15,0.006,0.1743,187,0.0905,0.1481,182,0.089
#62,1000,300,100,0.02,0.006,740,820,15,0.006,0.1743,187,0.0905,0.1536,170,0.0902
#63,1000,300,100,0.02,0.006,760,820,15,0.006,0.1742,187,0.0905,0.1582,188,0.0876
#64,1000,300,100,0.02,0.006,780,820,15,0.006,0.1742,187,0.0905,0.1697,181,0.0882
#65,1000,300,100,0.02,0.006,800,820,15,0.006,0.1742,187,0.0905,0.151,167,0.0909
#66,1000,300,100,0.02,0.006,820,820,15,0.006,0.1741,187,0.0905,0.1678,168,0.0882
#67,1000,300,100,0.02,0.006,840,820,15,0.006,0.1741,187,0.0905,0.1581,161,0.0894
#68,1000,300,100,0.02,0.006,860,820,15,0.006,0.174,187,0.0905,0.1652,173,0.0894
#69,1000,300,100,0.02,0.006,880,820,15,0.006,0.174,187,0.0905,0.1659,169,0.0882
#70,1000,300,100,0.02,0.006,700,840,15,0.006,0.1744,187,0.0905,0.1669,177,0.088
#71,1000,300,100,0.02,0.006,720,840,15,0.006,0.1744,187,0.0905,0.1676,182,0.0879
#72,1000,300,100,0.02,0.006,740,840,15,0.006,0.1743,187,0.0905,0.1481,158,0.0902
#73,1000,300,100,0.02,0.006,760,840,15,0.006,0.1743,187,0.0905,0.1649,174,0.0881
#74,1000,300,100,0.02,0.006,780,840,15,0.006,0.1742,187,0.0905,0.1673,179,0.0887
#75,1000,300,100,0.02,0.006,800,840,15,0.006,0.1742,187,0.0905,0.1676,172,0.0889
#76,1000,300,100,0.02,0.006,820,840,15,0.006,0.1742,187,0.0905,0.4789,179,0.0832
#77,1000,300,100,0.02,0.006,840,840,15,0.006,0.1741,187,0.0905,0.4318,170,0.084
#78,1000,300,100,0.02,0.006,860,840,15,0.006,0.1741,187,0.0905,0.1659,170,0.0877
#79,1000,300,100,0.02,0.006,880,840,15,0.006,0.174,187,0.0905,0.161,169,0.0889
#80,1000,300,100,0.02,0.006,700,860,15,0.006,0.1744,187,0.0905,0.1589,173,0.0885
#81,1000,300,100,0.02,0.006,720,860,15,0.006,0.1744,187,0.0905,0.169,179,0.0878
#82,1000,300,100,0.02,0.006,740,860,15,0.006,0.1744,187,0.0905,0.7282,190,0.0754
#83,1000,300,100,0.02,0.006,760,860,15,0.006,0.1743,187,0.0905,0.4419,179,0.0841
#84,1000,300,100,0.02,0.006,780,860,15,0.006,0.1743,187,0.0905,0.5596,180,0.0828
#85,1000,300,100,0.02,0.006,800,860,15,0.006,0.1742,187,0.0905,0.1839,169,0.0881
#86,1000,300,100,0.02,0.006,820,860,15,0.006,0.1742,187,0.0905,0.1455,175,0.089
#87,1000,300,100,0.02,0.006,840,860,15,0.006,0.1742,187,0.0905,0.1629,164,0.0894
#88,1000,300,100,0.02,0.006,860,860,15,0.006,0.1741,187,0.0905,0.29,175,0.0861
#89,1000,300,100,0.02,0.006,880,860,15,0.006,0.1741,187,0.0905,0.1616,181,0.0898
#90,1000,300,100,0.02,0.006,700,880,15,0.006,0.1745,187,0.0905,0.1942,190,0.0872
#91,1000,300,100,0.02,0.006,720,880,15,0.006,0.1744,187,0.0905,0.972,197,0.0748
#92,1000,300,100,0.02,0.006,740,880,15,0.006,0.1744,187,0.0905,0.5614,182,0.0816
#93,1000,300,100,0.02,0.006,760,880,15,0.006,0.1743,187,0.0905,0.1569,181,0.0876
#94,1000,300,100,0.02,0.006,780,880,15,0.006,0.1743,187,0.0905,0.4696,172,0.0833
#95,1000,300,100,0.02,0.006,800,880,15,0.006,0.1743,187,0.0905,0.1683,169,0.0885
#96,1000,300,100,0.02,0.006,820,880,15,0.006,0.1742,187,0.0905,0.1547,180,0.0891
#97,1000,300,100,0.02,0.006,840,880,15,0.006,0.1742,187,0.0905,0.1686,184,0.0887
#98,1000,300,100,0.02,0.006,860,880,15,0.006,0.1742,187,0.0905,0.1567,168,0.0894
#99,1000,300,100,0.02,0.006,880,880,15,0.006,0.1741,187,0.0905,0.1482,187,0.0878
