
Experiment #1 begin 
- freq    = 5.00 Hz
- rho_int = 700.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	E_pot
1.10	262	0.11	0.490
1.20	8	0.15	0.673
1.30	131	0.11	0.543
1.40	62	0.15	0.620
1.50	227	0.11	0.506
1.60	54	0.15	0.663
1.70	139	0.10	0.547
1.80	46	0.12	0.618
1.90	202	0.11	0.501
2.00	33	0.13	0.656
2.10	134	0.10	0.548
2.20	34	0.13	0.617
2.30	222	0.11	0.509
2.40	37	0.16	0.668
2.50	130	0.11	0.555
2.60	26	0.15	0.652
2.70	150	0.10	0.536
2.80	21	0.15	0.660
2.90	148	0.09	0.544
3.00	48	0.13	0.640
3.10	183	0.10	0.520
3.20	33	0.14	0.655
3.30	149	0.10	0.541
3.40	30	0.15	0.625
3.50	203	0.11	0.509
3.60	39	0.16	0.662
3.70	128	0.10	0.539
3.80	57	0.14	0.639
3.90	177	0.10	0.528
4.00	58	0.12	0.644
4.10	169	0.09	0.536
4.20	79	0.12	0.627
4.30	203	0.10	0.521
4.40	59	0.12	0.633
4.50	198	0.10	0.520
4.60	39	0.15	0.640
4.70	185	0.11	0.525
4.80	37	0.17	0.648
4.90	164	0.12	0.527
5.00	18	0.19	0.671
5.10	121	0.12	0.559
5.20	58	0.17	0.631
5.30	196	0.12	0.511
5.40	14	0.19	0.669
5.50	120	0.12	0.550
5.60	51	0.17	0.624
5.70	184	0.13	0.515
5.80	45	0.21	0.657
5.90	133	0.16	0.547
6.00	60	0.21	0.632
6.10	175	0.18	0.528
6.20	40	0.23	0.663
6.30	126	0.17	0.545
6.40	22	0.24	0.644
6.50	157	0.19	0.529
6.60	58	0.24	0.654
6.70	134	0.19	0.537
6.80	42	0.24	0.645
6.90	165	0.19	0.532
7.00	23	0.23	0.643
7.10	165	0.18	0.523
7.20	34	0.24	0.650
7.30	136	0.19	0.530
7.40	29	0.24	0.643
7.50	161	0.19	0.526
7.60	13	0.25	0.629
7.70	180	0.18	0.508
7.80	25	0.25	0.652
7.90	152	0.19	0.539
8.00	11	0.24	0.613
8.10	218	0.21	0.490
8.20	24	0.28	0.659
8.30	123	0.19	0.547
8.40	23	0.26	0.619
8.50	190	0.21	0.501
8.60	34	0.29	0.662
8.70	107	0.20	0.543
8.80	36	0.26	0.622
8.90	203	0.21	0.494
9.00	8	0.30	0.667
9.10	116	0.21	0.548
9.20	19	0.25	0.617
9.30	219	0.21	0.495
9.40	6	0.26	0.669
9.50	110	0.19	0.556
9.60	36	0.26	0.626
9.70	176	0.22	0.511
9.80	30	0.31	0.659
9.90	131	0.23	0.533
10.00	11	0.32	0.636
10.10	156	0.26	0.524
10.20	23	0.32	0.644
10.30	160	0.26	0.528
10.40	49	0.32	0.617
10.50	171	0.28	0.504
10.60	49	0.35	0.639
10.70	161	0.26	0.524
10.80	46	0.36	0.608
10.90	195	0.30	0.499
11.00	28	0.40	0.639
11.10	141	0.32	0.520
11.20	14	0.39	0.619
11.30	162	0.34	0.509
11.40	21	0.39	0.634
11.50	164	0.32	0.522
11.60	33	0.39	0.613
11.70	197	0.32	0.493
11.80	44	0.42	0.635
11.90	169	0.33	0.521
12.00	50	0.38	0.595
12.10	213	0.34	0.491
12.20	67	0.42	0.623
12.30	191	0.33	0.504
12.40	62	0.44	0.622
12.50	167	0.33	0.506
12.60	57	0.44	0.624
12.70	171	0.34	0.507
12.80	59	0.46	0.620
12.90	168	0.37	0.507
13.00	56	0.47	0.612
13.10	182	0.39	0.497
13.20	36	0.46	0.613
13.30	198	0.37	0.491
13.40	33	0.48	0.617
13.50	165	0.41	0.500
13.60	48	0.49	0.614
13.70	172	0.41	0.500
13.80	43	0.51	0.626
13.90	163	0.43	0.513
14.00	52	0.50	0.618
14.10	171	0.41	0.508
14.20	58	0.51	0.615
14.30	187	0.42	0.509
14.40	71	0.50	0.611
14.50	180	0.41	0.494
14.60	55	0.51	0.630
14.70	165	0.43	0.515
14.80	54	0.52	0.606
14.90	187	0.42	0.496
15.00	48	0.51	0.612
15.10	179	0.43	0.503
15.20	49	0.49	0.614
15.30	173	0.40	0.504
15.40	45	0.52	0.611
15.50	183	0.43	0.497
15.60	56	0.52	0.618
15.70	173	0.44	0.507
15.80	72	0.52	0.603
15.90	185	0.42	0.495
16.00	67	0.53	0.612
16.10	187	0.44	0.503
16.20	50	0.51	0.606
16.30	182	0.41	0.502
16.40	85	0.51	0.611
16.50	190	0.42	0.501
16.60	68	0.50	0.591
16.70	231	0.42	0.477
16.80	58	0.51	0.631
