
d_int,d_bed,rho_int,rho_bed,freq,amp,yint_a,yint_b,con_i,zint_f,con_f

0.02,0.006,700.00,700.00,6.00,0.006,0.070,0.070,253,1.0135,286
0.02,0.006,800.00,700.00,6.00,0.006,0.070,0.070,251,0.9726,308
0.02,0.006,900.00,700.00,6.00,0.006,0.070,0.070,262,0.3858,282
0.02,0.006,1000.00,700.00,6.00,0.006,0.070,0.070,253,0.1168,274
0.02,0.006,1100.00,700.00,6.00,0.006,0.070,0.069,252,0.1136,278
0.02,0.006,1200.00,700.00,6.00,0.006,0.070,0.073,241,0.1171,288
0.02,0.006,1300.00,700.00,6.00,0.006,0.070,0.070,243,0.2112,291
0.02,0.006,1400.00,700.00,6.00,0.006,0.070,0.073,243,0.1129,284
0.02,0.006,700.00,800.00,6.00,0.006,0.070,0.074,270,0.7113,312
0.02,0.006,800.00,800.00,6.00,0.006,0.070,0.072,267,0.1103,287
0.02,0.006,900.00,800.00,6.00,0.006,0.070,0.067,275,0.5224,288
0.02,0.006,1000.00,800.00,6.00,0.006,0.070,0.073,261,0.9859,317
0.02,0.006,1100.00,800.00,6.00,0.006,0.070,0.071,266,0.1158,302
0.02,0.006,1200.00,800.00,6.00,0.006,0.070,0.070,275,0.8409,312
0.02,0.006,1300.00,800.00,6.00,0.006,0.070,0.074,271,0.5573,288
0.02,0.006,1400.00,800.00,6.00,0.006,0.070,0.068,282,0.1173,305
0.02,0.006,700.00,900.00,6.00,0.006,0.070,0.068,256,0.7829,319
0.02,0.006,800.00,900.00,6.00,0.006,0.070,0.070,259,0.6345,339
0.02,0.006,900.00,900.00,6.00,0.006,0.070,0.074,277,0.112,281
0.02,0.006,1000.00,900.00,6.00,0.006,0.070,0.075,270,0.1102,296
0.02,0.006,1100.00,900.00,6.00,0.006,0.070,0.072,261,0.8388,332
0.02,0.006,1200.00,900.00,6.00,0.006,0.070,0.075,275,0.1167,310
0.02,0.006,1300.00,900.00,6.00,0.006,0.070,0.074,297,0.9221,337
0.02,0.006,1400.00,900.00,6.00,0.006,0.070,0.069,274,0.915,335
0.02,0.006,700.00,1000.00,6.00,0.006,0.070,0.075,264,0.5614,325
0.02,0.006,800.00,1000.00,6.00,0.006,0.070,0.072,284,0.1312,351
0.02,0.006,900.00,1000.00,6.00,0.006,0.070,0.068,279,1.0346,363
0.02,0.006,1000.00,1000.00,6.00,0.006,0.070,0.071,258,1.6155,361
0.02,0.006,1100.00,1000.00,6.00,0.006,0.070,0.073,270,0.2223,311
0.02,0.006,1200.00,1000.00,6.00,0.006,0.070,0.067,289,0.9287,355
0.02,0.006,1300.00,1000.00,6.00,0.006,0.070,0.073,263,0.117,310
0.02,0.006,1400.00,1000.00,6.00,0.006,0.070,0.072,274,0.1109,300
0.02,0.006,700.00,1100.00,6.00,0.006,0.070,0.072,270,0.5493,354
0.02,0.006,800.00,1100.00,6.00,0.006,0.070,0.066,279,0.3796,299
0.02,0.006,900.00,1100.00,6.00,0.006,0.070,0.069,285,0.6285,339
0.02,0.006,1000.00,1100.00,6.00,0.006,0.070,0.066,288,0.597,322
0.02,0.006,1100.00,1100.00,6.00,0.006,0.070,0.070,274,0.1109,291
0.02,0.006,1200.00,1100.00,6.00,0.006,0.070,0.075,271,0.5523,317
0.02,0.006,1300.00,1100.00,6.00,0.006,0.070,0.071,271,0.5318,290
0.02,0.006,1400.00,1100.00,6.00,0.006,0.070,0.074,283,0.1171,295
0.02,0.006,700.00,1200.00,6.00,0.006,0.070,0.069,278,0.8736,362
0.02,0.006,800.00,1200.00,6.00,0.006,0.070,0.074,271,0.8094,335
0.02,0.006,900.00,1200.00,6.00,0.006,0.070,0.070,266,1.0961,342
0.02,0.006,1000.00,1200.00,6.00,0.006,0.070,0.064,290,1.0491,336
0.02,0.006,1100.00,1200.00,6.00,0.006,0.070,0.068,289,0.9124,359
0.02,0.006,1200.00,1200.00,6.00,0.006,0.070,0.073,282,0.1157,285
0.02,0.006,1300.00,1200.00,6.00,0.006,0.070,0.073,276,0.1127,310
0.02,0.006,1400.00,1200.00,6.00,0.006,0.070,0.071,280,0.1135,346
0.02,0.006,700.00,1300.00,6.00,0.006,0.070,0.072,276,0.6846,327
0.02,0.006,800.00,1300.00,6.00,0.006,0.070,0.073,273,0.9423,330
0.02,0.006,900.00,1300.00,6.00,0.006,0.070,0.070,284,0.6401,322
0.02,0.006,1000.00,1300.00,6.00,0.006,0.070,0.071,276,0.8401,361
0.02,0.006,1100.00,1300.00,6.00,0.006,0.070,0.072,297,0.6459,316
0.02,0.006,1200.00,1300.00,6.00,0.006,0.070,0.073,284,0.3191,335
0.02,0.006,1300.00,1300.00,6.00,0.006,0.070,0.073,289,0.111,315
0.02,0.006,1400.00,1300.00,6.00,0.006,0.070,0.075,289,0.1146,311
0.02,0.006,700.00,1400.00,6.00,0.006,0.070,0.074,288,0.7515,316
0.02,0.006,800.00,1400.00,6.00,0.006,0.070,0.074,276,0.8966,352
0.02,0.006,900.00,1400.00,6.00,0.006,0.070,0.067,273,0.9625,365
0.02,0.006,1000.00,1400.00,6.00,0.006,0.070,0.069,286,0.6128,339
0.02,0.006,1100.00,1400.00,6.00,0.006,0.070,0.071,285,0.8767,364
0.02,0.006,1200.00,1400.00,6.00,0.006,0.070,0.073,283,0.1173,296
0.02,0.006,1300.00,1400.00,6.00,0.006,0.070,0.063,294,0.1083,305
0.02,0.006,1400.00,1400.00,6.00,0.006,0.070,0.072,275,0.859,362
