
Experiment #1 begin 
- freq    = 3.00 Hz
- rho_int = 700.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	y_int	U_int	U_bed
1.10	235	0.11	0.00	0.004	0.404
1.20	237	0.12	0.00	0.015	0.538
1.30	94	0.12	0.00	0.016	0.566
1.40	210	0.11	0.00	0.004	0.420
1.50	244	0.12	0.00	0.011	0.483
1.60	127	0.12	0.00	0.018	0.584
1.70	158	0.11	-0.00	0.007	0.444
1.80	252	0.12	0.00	0.007	0.422
1.90	161	0.12	0.00	0.017	0.578
2.00	116	0.11	0.00	0.011	0.506
2.10	257	0.11	-0.00	0.004	0.396
2.20	224	0.12	0.00	0.015	0.536
2.30	171	0.11	0.00	0.015	0.554
2.40	220	0.11	0.00	0.004	0.402
2.50	254	0.12	0.00	0.011	0.473
2.60	194	0.11	0.00	0.017	0.578
2.70	133	0.11	0.00	0.007	0.452
2.80	256	0.12	0.00	0.007	0.422
2.90	187	0.12	0.00	0.017	0.575
3.00	144	0.11	0.00	0.011	0.508
3.10	242	0.11	-0.00	0.004	0.394
3.20	223	0.12	0.00	0.015	0.535
3.30	174	0.11	-0.00	0.015	0.553
3.40	213	0.11	-0.00	0.004	0.402
3.50	257	0.12	0.00	0.011	0.473
3.60	164	0.12	-0.00	0.018	0.580
3.70	155	0.11	-0.00	0.007	0.450
3.80	252	0.12	-0.00	0.007	0.421
3.90	176	0.12	-0.00	0.018	0.576
4.00	139	0.11	-0.00	0.011	0.508
4.10	245	0.11	-0.00	0.004	0.394
4.20	220	0.12	-0.00	0.015	0.535
4.30	169	0.12	-0.00	0.015	0.553
4.40	229	0.11	-0.00	0.004	0.402
4.50	255	0.12	-0.00	0.011	0.473
4.60	149	0.12	-0.00	0.018	0.581
4.70	165	0.11	-0.00	0.007	0.447
4.80	252	0.12	-0.00	0.007	0.421
4.90	167	0.12	-0.00	0.018	0.576
5.00	133	0.11	-0.00	0.011	0.509
5.10	235	0.11	-0.00	0.004	0.395
5.20	216	0.12	-0.00	0.015	0.535
5.30	153	0.12	-0.00	0.015	0.554
5.40	215	0.11	-0.00	0.004	0.402
5.50	253	0.12	-0.00	0.011	0.473
5.60	150	0.12	-0.00	0.018	0.581
5.70	140	0.11	-0.00	0.007	0.451
5.80	246	0.12	-0.00	0.007	0.422
5.90	214	0.13	-0.01	0.018	0.571
6.00	127	0.14	-0.01	0.013	0.516
6.10	242	0.11	-0.00	0.004	0.395
6.20	213	0.12	-0.00	0.015	0.531
6.30	141	0.14	-0.01	0.017	0.558
6.40	168	0.11	-0.01	0.004	0.419
6.50	268	0.12	-0.00	0.011	0.473
6.60	189	0.13	-0.00	0.018	0.578
6.70	161	0.11	-0.00	0.007	0.463
6.80	239	0.11	-0.00	0.007	0.423
6.90	240	0.12	-0.00	0.017	0.568
7.00	169	0.12	-0.00	0.012	0.515
7.10	243	0.11	-0.00	0.004	0.392
7.20	247	0.12	-0.00	0.015	0.532
7.30	152	0.12	-0.00	0.016	0.554
7.40	217	0.11	-0.00	0.004	0.405
7.50	275	0.12	-0.00	0.011	0.473
7.60	212	0.13	-0.00	0.019	0.578
7.70	92	0.12	-0.00	0.008	0.459
7.80	260	0.11	-0.00	0.007	0.422
7.90	212	0.13	-0.00	0.018	0.570
8.00	148	0.13	-0.00	0.012	0.514
8.10	241	0.11	-0.00	0.004	0.390
8.20	256	0.12	-0.00	0.015	0.530
8.30	139	0.14	-0.00	0.017	0.557
8.40	194	0.11	-0.00	0.004	0.403
8.50	264	0.12	-0.00	0.011	0.472
8.60	185	0.14	-0.00	0.019	0.579
8.70	158	0.13	-0.00	0.008	0.458
8.80	268	0.12	-0.00	0.007	0.423
8.90	240	0.13	-0.00	0.018	0.565
9.00	142	0.14	-0.00	0.013	0.515
9.10	244	0.11	-0.00	0.004	0.387
9.20	250	0.12	-0.00	0.015	0.525
9.30	59	0.14	-0.00	0.017	0.559
9.40	234	0.12	-0.00	0.005	0.399
